Reactions	Rules
2.1.1.114-RXN	rule0010
2.1.1.114-RXN_reverse	rule0011
2.1.1.115-RXN	rule0033
2.1.1.115-RXN_reverse	rule0034
2.1.1.116-RXN	rule0010
2.1.1.116-RXN_reverse	rule0011
2.1.1.117-RXN	rule0010
2.1.1.117-RXN_reverse	rule0011
2.1.1.118-RXN	rule0010
2.1.1.118-RXN_reverse	rule0011
2.1.1.119-RXN	rule0010
2.1.1.119-RXN_reverse	rule0011
2.1.1.120-RXN	rule0010
2.1.1.120-RXN_reverse	rule0011
2.1.1.121-RXN	rule0010
2.1.1.121-RXN_reverse	rule0011
2.1.1.122-RXN	rule0120
2.1.1.122-RXN_reverse	rule0121
2.1.1.123-RXN	rule0708
2.1.1.123-RXN_reverse	rule0709
2.1.1.124-RXN	rule0033
2.1.1.124-RXN_reverse	rule0034
2.1.1.125-RXN	rule0033
2.1.1.125-RXN_reverse	rule0034
2.1.1.126-RXN	rule0033
2.1.1.126-RXN_reverse	rule0034
2.1.1.128-RXN	rule0010
2.1.1.128-RXN_reverse	rule0011
2.1.1.129-RXN	rule0010
2.1.1.129-RXN_reverse	rule0011
2.1.1.133-RXN_reverse	rule0043
2.1.1.136-RXN	rule0010
2.1.1.136-RXN_reverse	rule0011
2.1.1.137-RXN	rule0710
2.1.1.137-RXN_reverse	rule0711
2.1.1.138-RXN	rule0711
2.1.1.138-RXN_reverse	rule0710
2.1.1.139-RXN	rule0010
2.1.1.139-RXN_reverse	rule0011
2.1.1.140-RXN	rule0033
2.1.1.140-RXN_reverse	rule0034
2.1.1.142-RXN	rule0236
2.1.1.142-RXN_reverse	rule0237
2.1.1.143-RXN	rule0046
2.1.1.143-RXN_reverse	rule0043
2.1.1.145-RXN	rule0010
2.1.1.145-RXN_reverse	rule0011
2.1.1.146-RXN	rule0010
2.1.1.146-RXN_reverse	rule0011
2.1.1.151-RXN	rule0046
2.1.1.151-RXN_reverse	rule0043
2.1.1.155-RXN	rule0010
2.1.1.155-RXN_reverse	rule0011
2.1.1.16-RXN	rule0545
2.1.1.16-RXN_reverse	rule0546
2.1.1.17-RXN	rule0033
2.1.1.17-RXN_reverse	rule0034
2.1.1.19-RXN	rule0205
2.1.1.19-RXN_reverse	rule0206
2.1.1.21-RXN	rule0298
2.1.1.21-RXN_reverse	rule0299
2.1.1.28-RXN	rule0033
2.1.1.28-RXN_reverse	rule0034
2.1.1.34-RXN	rule0010
2.1.1.34-RXN_reverse	rule0011
2.1.1.38-RXN	rule0010
2.1.1.38-RXN_reverse	rule0011
2.1.1.44-RXN	rule0120
2.1.1.44-RXN_reverse	rule0121
2.1.1.5-RXN	rule1017
2.1.1.5-RXN_reverse	rule1018
2.1.1.59-RXN	rule0033
2.1.1.59-RXN_reverse	rule0034
2.1.1.60-RXN	rule0033
2.1.1.60-RXN_reverse	rule0034
2.1.1.63-RXN	rule0712
2.1.1.63-RXN_reverse	rule0713
2.1.1.64-RXN	rule0010
2.1.1.64-RXN_reverse	rule0011
2.1.1.69-RXN	rule0010
